expectation,question,strongly disagree,disagree,agree,strongly agree
"ISCED lv2","ST87Q01",406,421,185,99
"ISCED lv2","ST87Q04",398,428,188,85
"ISCED lv2","ST87Q05",43,130,627,300
"ISCED lv2","ST87Q06",462,422,144,70
"ISCED lv2","ST87Q07",50,132,580,339
"ISCED lv3B,C","ST87Q01",1103,1172,300,163
"ISCED lv3B,C","ST87Q04",1002,1176,422,134
"ISCED lv3B,C","ST87Q05",86,286,1753,602
"ISCED lv3B,C","ST87Q06",1284,1084,249,115
"ISCED lv3B,C","ST87Q07",171,409,1470,677
"ISCED lv3A","ST87Q01",4094,4079,779,392
"ISCED lv3A","ST87Q04",3635,4256,1077,356
"ISCED lv3A","ST87Q05",255,1151,6075,1830
"ISCED lv3A","ST87Q06",4667,3722,653,277
"ISCED lv3A","ST87Q07",482,1477,5103,2244
"ISCED lv4","ST87Q01",1513,1752,338,133
"ISCED lv4","ST87Q04",1423,1779,399,121
"ISCED lv4","ST87Q05",114,472,2538,580
"ISCED lv4","ST87Q06",1725,1622,273,105
"ISCED lv4","ST87Q07",179,588,2215,727
"ISCED lv5B","ST87Q01",3078,3380,543,223
"ISCED lv5B","ST87Q04",2785,3516,698,203
"ISCED lv5B","ST87Q05",187,902,4943,1154
"ISCED lv5B","ST87Q06",3469,3118,449,160
"ISCED lv5B","ST87Q07",258,1000,4347,1581
"ISCED lv5A",6,"ST87Q01",19799,18116,2903,1087
"ISCED lv5A",6,"ST87Q04",18697,18918,3296,921
"ISCED lv5A",6,"ST87Q05",727,4018,28405,8655
"ISCED lv5A",6,"ST87Q06",21966,16589,2524,765
"ISCED lv5A",6,"ST87Q07",1214,5189,23693,11675
