expectation,salary,frequency
"ISCED lv2","Less than <$A>",810,
"ISCED lv2","<$A> or more but less than <$B>",153,
"ISCED lv2","<$B> or more but less than <$C>",93,
"ISCED lv2","<$C> or more but less than <$D>",59,
"ISCED lv2","<$D> or more but less than <$E>",49,
"ISCED lv2","<$E> or more",70,
"ISCED lv3B,C","Less than <$A>",1431,
"ISCED lv3B,C","<$A> or more but less than <$B>",780,
"ISCED lv3B,C","<$B> or more but less than <$C>",295,
"ISCED lv3B,C","<$C> or more but less than <$D>",148,
"ISCED lv3B,C","<$D> or more but less than <$E>",75,
"ISCED lv3B,C","<$E> or more",98,
"ISCED lv3A","Less than <$A>",3587,
"ISCED lv3A","<$A> or more but less than <$B>",985,
"ISCED lv3A","<$B> or more but less than <$C>",598,
"ISCED lv3A","<$C> or more but less than <$D>",336,
"ISCED lv3A","<$D> or more but less than <$E>",175,
"ISCED lv3A","<$E> or more",328,
"ISCED lv4","Less than <$A>",740,
"ISCED lv4","<$A> or more but less than <$B>",1052,
"ISCED lv4","<$B> or more but less than <$C>",764,
"ISCED lv4","<$C> or more but less than <$D>",391,
"ISCED lv4","<$D> or more but less than <$E>",164,
"ISCED lv4","<$E> or more",222,
"ISCED lv5B","Less than <$A>",2649,
"ISCED lv5B","<$A> or more but less than <$B>",1488,
"ISCED lv5B","<$B> or more but less than <$C>",1124,
"ISCED lv5B","<$C> or more but less than <$D>",692,
"ISCED lv5B","<$D> or more but less than <$E>",477,
"ISCED lv5B","<$E> or more",759,
"ISCED lv5A,6","Less than <$A>",19480,
"ISCED lv5A,6","<$A> or more but less than <$B>",6541,
"ISCED lv5A,6","<$B> or more but less than <$C>",4951,
"ISCED lv5A,6","<$C> or more but less than <$D>",3647,
"ISCED lv5A,6","<$D> or more but less than <$E>",2952,
"ISCED lv5A,6","<$E> or more",8449
